Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
202,ED0084,FW25,JUMPSUIT,BLACK,10496843,44,0
203,ED0084,FW25,JUMPSUIT,BLACK,10496844,46,0
204,ED0084,FW25,JUMPSUIT,BLACK,10496845,48,0
205,ED0084,FW25,JUMPSUIT,BLACK,10496846,50,0
206,ED0084,FW25,JUMPSUIT,BLACK,10496847,52,0
207,ED0084,FW25,JUMPSUIT,BLACK,10496848,54,0
208,ED0765,FW25,DRESS,BLACK,10496740,38,0
209,ED0765,FW25,DRESS,BLACK,10496741,40,0
210,ED0765,FW25,DRESS,BLACK,10496742,42,0
211,ED0765,FW25,DRESS,BLACK,10496743,44,0
212,ED0765,FW25,DRESS,BLACK,10496744,46,0
213,ED0765,FW25,DRESS,BLACK,10496745,48,0
214,ED0765,FW25,DRESS,BLACK,10496746,50,0
215,ED0765,FW25,DRESS,BLACK,10496747,52,0
216,ED0765,FW25,DRESS,BLACK,10496748,54,0
217,ED0768,FW25,DRESS,GREY,10478710,38,0
218,ED0768,FW25,DRESS,GREY,10478711,40,0
219,ED0768,FW25,DRESS,GREY,10478712,42,0
220,ED0768,FW25,DRESS,GREY,10478713,44,0
221,ED0768,FW25,DRESS,GREY,10478714,46,0
222,ED0768,FW25,DRESS,GREY,10478715,48,0
223,ED0768,FW25,DRESS,GREY,10478716,50,0
224,ED0768,FW25,DRESS,GREY,10478717,52,0
225,ED0768,FW25,DRESS,GREY,10478718,54,0
226,LMF6081,FW25,.,BLACK,10464400,38,0
227,LMF6081,FW25,.,BLACK,10464401,40,0
228,LMF6081,FW25,.,BLACK,10464402,42,0
229,LMF6081,FW25,.,BLACK,10464403,44,0
230,LMF6081,FW25,.,BLACK,10464404,46,0
231,LMF6081,FW25,.,BLACK,10464405,48,0
232,LMF6081,FW25,.,BLACK,10464406,50,0
233,LMF6081,FW25,.,BLACK,10464407,52,0
234,LMF6081,FW25,.,BLACK,10464408,54,0
235,M14045,FW25,SWEATER,OFF-WHITE,10483130,38,0
236,M14045,FW25,SWEATER,OFF-WHITE,10483131,40,0
237,M14045,FW25,SWEATER,OFF-WHITE,10483132,42,0
238,M14045,FW25,SWEATER,OFF-WHITE,10483133,44,0
239,M14045,FW25,SWEATER,OFF-WHITE,10483134,46,0
240,M14045,FW25,SWEATER,OFF-WHITE,10483135,48,0
241,M14045,FW25,SWEATER,OFF-WHITE,10483136,50,0
242,M14045,FW25,SWEATER,OFF-WHITE,10483137,52,0
243,M14045,FW25,SWEATER,OFF-WHITE,10483138,54,0
244,M14045,FW25,SWEATER,WHITE,10478650,38,0
245,M14045,FW25,SWEATER,WHITE,10478651,40,0
246,M14045,FW25,SWEATER,WHITE,10478652,42,0
247,M14045,FW25,SWEATER,WHITE,10478653,44,0
248,M14045,FW25,SWEATER,WHITE,10478654,46,0
249,M14045,FW25,SWEATER,WHITE,10478655,48,0
250,M14045,FW25,SWEATER,WHITE,10478656,50,0
251,M14045,FW25,SWEATER,WHITE,10478657,52,0
252,M14045,FW25,SWEATER,WHITE,10478658,54,0
253,M14057,FW25,SWEATER,BLACK,10491620,38,0
254,M14057,FW25,SWEATER,BLACK,10491621,40,0
