Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Unit Price Base Measure Unit,Variant Barcode
,,,,,L,,,BLACK,,,,,FW250018,0,,
,,,,,XL,,,BROWN,,,,,FW250018,0,,
,,,,,2XL,,,BROWN,,,,,FW250018,0,,
,,,,,3XL,,,BROWN,,,,,FW250018,0,,
,,,,,3XL,,,BLACK,,,,,FW250018,0,,
,,,,,2XL,,,BLACK,,,,,FW250018,0,,
,,,,,XL,,,BLACK,,,,,FW250018,0,,
,,,,,XL,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,2XL,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,3XL,,,CHOCOLATE,,,,,FW250018,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,FF850,0,,
,,,,,XXS,,,BROWN,,,,,FF850,0,,
,,,,,XS,,,BLACK,,,,,FF850,0,,
,,,,,XS,,,BROWN,,,,,FF850,0,,
,,,,,S,,,BLACK,,,,,FF850,0,,
,,,,,S,,,BROWN,,,,,FF850,0,,
,,,,,M,,,BLACK,,,,,FF850,0,,
,,,,,M,,,BROWN,,,,,FF850,0,,
,,,,,L,,,BLACK,,,,,FF850,0,,
,,,,,L,,,BROWN,,,,,FF850,0,,
,,,,,XL,,,BLACK,,,,,FF850,0,,
,,,,,2XL,,,BLACK,,,,,FF850,0,,
,,,,,3XL,,,BLACK,,,,,FF850,0,,
,,,,,XL,,,BROWN,,,,,FF850,0,,
,,,,,2XL,,,BROWN,,,,,FF850,0,,
,,,,,3XL,,,BROWN,,,,,FF850,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,GREY,,,,,DR977,0,,
,,,,,XS,,,GREY,,,,,DR977,0,,
,,,,,S,,,GREY,,,,,DR977,0,,
,,,,,M,,,GREY,,,,,DR977,0,,
,,,,,L,,,GREY,,,,,DR977,0,,
,,,,,XL,,,GREY,,,,,DR977,0,,
,,,,,2XL,,,GREY,,,,,DR977,0,,
,,,,,3XL,,,GREY,,,,,DR977,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,CHOCOLATE,,,,,D80995,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,LIGHT GREY,,,,,D80387,0,,
,,,,,O/S,,,SAND,,,,,D80387,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,C403,0,,
,,,,,O/S,,,CREAM,,,,,C403,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,O/S,,COLOUR,BEIGE,,,,,AI257178,0,,
,,,,,O/S,,,BLACK,,,,,AI257178,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK/WHITE,,,,,AI252241,0,,
,,,,,XS,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,S,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,M,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,L,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,XL,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,2XL,,,BLACK/WHITE,,,,,AI252241,0,,
,,,,,3XL,,,BLACK/WHITE,,,,,AI252241,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BROWN,,,,,AI247134,0,,
,,,,,XS,,,BROWN,,,,,AI247134,0,,
,,,,,S,,,BROWN,,,,,AI247134,0,,
,,,,,M,,,BROWN,,,,,AI247134,0,,
,,,,,L,,,BROWN,,,,,AI247134,0,,
,,,,,XL,,,BROWN,,,,,AI247134,0,,
,,,,,2XL,,,BROWN,,,,,AI247134,0,,
,,,,,3XL,,,BROWN,,,,,AI247134,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BROWN,,,,,AI247126,0,,
,,,,,XS,,,BROWN,,,,,AI247126,0,,
,,,,,S,,,BROWN,,,,,AI247126,0,,
,,,,,M,,,BROWN,,,,,AI247126,0,,
,,,,,L,,,BROWN,,,,,AI247126,0,,
,,,,,XL,,,BROWN,,,,,AI247126,0,,
,,,,,2XL,,,BROWN,,,,,AI247126,0,,
,,,,,3XL,,,BROWN,,,,,AI247126,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,37756,0,,
,,,,,XXS,,,MULTI,,,,,37756,0,,
,,,,,XS,,,BLACK,,,,,37756,0,,
,,,,,XS,,,MULTI,,,,,37756,0,,
,,,,,S,,,BLACK,,,,,37756,0,,
,,,,,S,,,MULTI,,,,,37756,0,,
,,,,,M,,,BLACK,,,,,37756,0,,
,,,,,M,,,MULTI,,,,,37756,0,,
,,,,,L,,,BLACK,,,,,37756,0,,
,,,,,L,,,MULTI,,,,,37756,0,,
,,,,,XL,,,BLACK,,,,,37756,0,,
,,,,,2XL,,,BLACK,,,,,37756,0,,
,,,,,3XL,,,BLACK,,,,,37756,0,,
,,,,,XL,,,MULTI,,,,,37756,0,,
,,,,,2XL,,,MULTI,,,,,37756,0,,
,,,,,3XL,,,MULTI,,,,,37756,0,,
